,poll_id,pollster_id,pollster,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,race_id,party,candidate_name,pct,poll_end_date,unique_id
81,88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213382,1440.0,lv,lv,8759,DEM,Kamala Harris,48.6,2024-10-17,88795-213382
82,88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213382,1440.0,lv,lv,8759,REP,Donald Trump,49.2,2024-10-17,88795-213382
85,88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213383,1440.0,lv,lv,8759,DEM,Kamala Harris,49.3,2024-10-17,88795-213383
86,88795,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Arizona,10/12/24,10/17/24,213383,1440.0,lv,lv,8759,REP,Donald Trump,49.2,2024-10-17,88795-213383
87,88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213384,1411.0,lv,lv,8781,DEM,Kamala Harris,48.1,2024-10-17,88796-213384
88,88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213384,1411.0,lv,lv,8781,REP,Donald Trump,49.5,2024-10-17,88796-213384
92,88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213385,1411.0,lv,lv,8781,DEM,Kamala Harris,48.4,2024-10-17,88796-213385
93,88796,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Georgia,10/12/24,10/17/24,213385,1411.0,lv,lv,8781,REP,Donald Trump,50.1,2024-10-17,88796-213385
94,88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213386,1529.0,lv,lv,8820,DEM,Kamala Harris,46.8,2024-10-17,88797-213386
95,88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213386,1529.0,lv,lv,8820,REP,Donald Trump,49.6,2024-10-17,88797-213386
100,88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213387,1529.0,lv,lv,8820,DEM,Kamala Harris,47.3,2024-10-17,88797-213387
101,88797,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Michigan,10/12/24,10/17/24,213387,1529.0,lv,lv,8820,REP,Donald Trump,50.2,2024-10-17,88797-213387
102,88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213388,1171.0,lv,lv,8857,DEM,Kamala Harris,48.1,2024-10-17,88798-213388
103,88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213388,1171.0,lv,lv,8857,REP,Donald Trump,48.4,2024-10-17,88798-213388
106,88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213389,1171.0,lv,lv,8857,DEM,Kamala Harris,48.4,2024-10-17,88798-213389
107,88798,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Nevada,10/12/24,10/17/24,213389,1171.0,lv,lv,8857,REP,Donald Trump,48.3,2024-10-17,88798-213389
108,88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213390,1674.0,lv,lv,8839,DEM,Kamala Harris,49.5,2024-10-17,88799-213390
109,88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213390,1674.0,lv,lv,8839,REP,Donald Trump,48.8,2024-10-17,88799-213390
113,88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213391,1674.0,lv,lv,8839,DEM,Kamala Harris,50.5,2024-10-17,88799-213391
114,88799,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,North Carolina,10/12/24,10/17/24,213391,1674.0,lv,lv,8839,REP,Donald Trump,48.8,2024-10-17,88799-213391
115,88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213392,2048.0,lv,lv,8872,DEM,Kamala Harris,46.5,2024-10-17,88800-213392
116,88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213392,2048.0,lv,lv,8872,REP,Donald Trump,49.8,2024-10-17,88800-213392
119,88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213393,2048.0,lv,lv,8872,DEM,Kamala Harris,47.4,2024-10-17,88800-213393
120,88800,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Pennsylvania,10/12/24,10/17/24,213393,2048.0,lv,lv,8872,REP,Donald Trump,49.9,2024-10-17,88800-213393
121,88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213394,932.0,lv,lv,8905,DEM,Kamala Harris,48.9,2024-10-17,88801-213394
122,88801,1528,AtlasIntel,2.7,-0.8,Online Ad,6.0,Wisconsin,10/12/24,10/17/24,213394,932.0,lv,lv,8905,REP,Donald Trump,48.2,2024-10-17,88801-213394
